fold_id,market,variant,test_season,train_rows,calibration_rows,test_rows,coverage,rows,accuracy,brier_score,log_loss,roc_auc,average_precision,brier_skill_score,log_loss_skill_score,ece_10,mean_probability,actual_rate,status,reason,feature_version,model_version
fold_03,btts,legacy,1920,1140,380,380,1.0,380,0.5052631578947369,0.25121199900876295,0.6955948554386515,0.5119166389535528,0.535555935704153,-0.00518212859857492,-0.003771943375327602,0.036783537111895206,0.500945048141567,0.5105263157894737,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_03,btts,platt_expanded,1920,1140,380,380,1.0,380,0.5052631578947369,0.2505725779014528,0.6942959343807998,0.48946901673872073,0.5081515144403442,-0.0026235936868153065,-0.0018975469442201742,0.011558089259125767,0.5130270292336503,0.5105263157894737,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_04,btts,constant_train_rate,2021,1520,380,380,1.0,380,0.48947368421052634,0.25020472645429365,0.6935566657215856,0.5,0.48947368421052634,0.0,0.0,0.01776315789473687,0.5072368421052633,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_04,btts,expanded,2021,1520,380,380,1.0,380,0.5105263157894737,0.2552596186775081,0.7038198076873544,0.5028267376122381,0.492073996615639,-0.020203024518555157,-0.014797842012074014,0.05022984534225812,0.4861400004477043,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_04,btts,legacy,2021,1520,380,380,1.0,380,0.5394736842105263,0.24804766871789893,0.6891815353975895,0.5484425230018845,0.5333467745336673,0.008621171018480922,0.006308252144681115,0.01895669650189577,0.49737022364861105,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_04,btts,platt_expanded,2021,1520,380,380,1.0,380,0.5105263157894737,0.2505034037080008,0.6941435077180838,0.5028267376122381,0.492073996615639,-0.001193731461190728,-0.0008461341740368944,0.022063797588389417,0.5096092026211776,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_05,btts,constant_train_rate,2122,1900,380,380,1.0,380,0.5,0.25006232686980606,0.6932718498406953,0.5,0.5,0.0,0.0,0.007894736842105288,0.5078947368421051,0.5,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_05,btts,expanded,2122,1900,380,380,1.0,380,0.5526315789473685,0.24821791473252378,0.6895156213042819,0.5606371191135734,0.5436173060357088,0.007375809704604497,0.005418117780603082,0.06403148090132121,0.49569869379696496,0.5,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_05,btts,legacy,2122,1900,380,380,1.0,380,0.5131578947368421,0.25029824865220013,0.6937288286923938,0.5086426592797784,0.5158138672962371,-0.0009434519199562619,-0.0006591625663201484,0.019180077455654438,0.4985819833510195,0.5,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_05,btts,platt_expanded,2122,1900,380,380,1.0,380,0.5,0.2501039258426523,0.6933550752517572,0.5606371191135734,0.5436173060357088,-0.0001663544179841825,-0.00012004729613779297,0.010520484354637594,0.4894795156453624,0.5,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_06,btts,constant_train_rate,2223,2280,380,380,1.0,380,0.5157894736842106,0.2498709218220992,0.6928890169142053,0.5,0.5157894736842106,0.0,0.0,0.010964912280701844,0.5048245614035087,0.5157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_06,btts,expanded,2223,2280,380,380,1.0,380,0.531578947368421,0.25199950544958766,0.6973861403997786,0.5245397071872228,0.5366810695316272,-0.008518732840005816,-0.006490395107720648,0.031889817811410155,0.4973967266950096,0.5157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_06,btts,legacy,2223,2280,380,380,1.0,380,0.4842105263157895,0.2525655535382144,0.6983347448043529,0.4820319432120675,0.5040085909174422,-0.01078409482970466,-0.007859451885094293,0.04736836590958429,0.5037022317458524,0.5157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_06,btts,platt_expanded,2223,2280,380,380,1.0,380,0.5342105263157895,0.2504355636928893,0.6940694551989967,0.5245397071872228,0.5366810695316272,-0.0022597342126591258,-0.001703646985268259,0.024388048426626233,0.5005626142541442,0.5157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_07,btts,constant_train_rate,2324,2660,380,380,1.0,380,0.6157894736842106,0.24905944372208713,0.6912660255003745,0.5,0.6157894736842106,0.0,0.0,0.1116541353383459,0.5041353383458648,0.6157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_07,btts,expanded,2324,2660,380,380,1.0,380,0.5236842105263158,0.24659510967897136,0.686113936030977,0.5269582016157359,0.6708062857233796,0.00989456174111425,0.007453121199856638,0.09399239067996909,0.5217970830042413,0.6157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_07,btts,legacy,2324,2660,380,380,1.0,380,0.5184210526315789,0.24921878139173023,0.6915727397379082,0.49793642430628726,0.6286075208025026,-0.0006397575906453845,-0.00044369927961041,0.10599780011360391,0.5097916735706066,0.6157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_07,btts,platt_expanded,2324,2660,380,380,1.0,380,0.5921052631578947,0.24525119463161024,0.683633440654168,0.5269582016157359,0.6708062857233796,0.01529052275057008,0.011041458085086275,0.09562853158419263,0.5201609421000178,0.6157894736842106,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_08,btts,constant_train_rate,2425,3040,380,380,1.0,380,0.5736842105263158,0.24920717191828254,0.6915614595808048,0.5,0.5736842105263158,0.0,0.0,0.0680921052631579,0.505592105263158,0.5736842105263158,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_08,btts,expanded,2425,3040,380,380,1.0,380,0.5078947368421053,0.2567251235061921,0.7074704266508213,0.49493147581832597,0.5639863002785916,-0.030167476842820395,-0.023004415369907605,0.08446141912785014,0.49526696919841323,0.5736842105263158,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
