market,match_id,kickoff_utc,season,actual,model_probability,baseline_probability,model_brier,baseline_brier,model_log_loss,baseline_log_loss
btts,3908ed8ccb348716,2022-10-08 15:00:00+00:00,2223,1,0.5326318427370274,0.5714285714285714,0.21843299442338673,0.18367346938775514,0.6299248200499789,0.5596157879354228
btts,415866c0bfdb0e1d,2022-10-08 15:00:00+00:00,2223,0,0.5502496927561836,0.5769230769230769,0.30277472437827446,0.33284023668639046,0.7990627230081673,0.8602012652231114
btts,4e40eef512ae6a41,2022-10-08 15:00:00+00:00,2223,1,0.6478982141484629,0.569620253164557,0.12397566759984166,0.18522672648614,0.43402167189911994,0.5627853626967017
btts,6a1727337d157b90,2022-10-08 15:00:00+00:00,2223,0,0.4752556017267237,0.575,0.22586788697263022,0.33062499999999995,0.6448439953773896,0.8556661100577201
btts,e4e21405a58d1611,2022-10-08 17:30:00+00:00,2223,0,0.5730078871414351,0.5679012345679012,0.3283380387262917,0.32251181222374636,0.8509897369813297,0.8391010931830251
btts,3599987285a09e0a,2022-10-09 14:00:00+00:00,2223,1,0.4025917697785873,0.5609756097560976,0.3568965935362805,0.1927424152290303,0.9098322086615371,0.578077850775158
btts,c5cbc506376de924,2022-10-09 14:00:00+00:00,2223,1,0.4676662189391633,0.5662650602409639,0.28337925445852674,0.18812599796777468,0.7600004449128271,0.5686930060865393
btts,8d300cfc87372a61,2022-10-09 16:30:00+00:00,2223,1,0.6261457446068077,0.5714285714285714,0.13976700427559824,0.18367346938775514,0.4681721161194284,0.5596157879354228
btts,1967db94bdf1ba14,2022-10-09 19:00:00+00:00,2223,1,0.4696607494956883,0.5764705882352941,0.281259720625475,0.17937716262975784,0.7557446544916365,0.55083095837969
btts,a1f0a36bc0c672a6,2022-10-10 20:00:00+00:00,2223,1,0.6176158607760046,0.5813953488372093,0.1462176299300759,0.17522985397512167,0.4818885992930322,0.5423242908253616
btts,7427e934e4a27994,2022-10-14 20:00:00+00:00,2223,0,0.5086167793104208,0.5862068965517241,0.2586910281961053,0.34363852556480373,0.7105309654088962,0.8823891801984736
btts,86fc260c91997f23,2022-10-15 12:30:00+00:00,2223,0,0.5833877645005957,0.5795454545454546,0.3403412837690025,0.33587293388429756,0.8755993806887985,0.8664189018339821
btts,87c595484bbf16ae,2022-10-15 15:00:00+00:00,2223,0,0.3584531707410651,0.5730337078651685,0.12848867561432317,0.3283676303497033,0.4438730979665723,0.851050210005754
btts,9784d473aac7a5c7,2022-10-15 15:00:00+00:00,2223,1,0.5452352538382457,0.5666666666666667,0.20681097435156484,0.1877777777777778,0.6065379190377873,0.5679840376059393
btts,203804f5e8a564bb,2022-10-15 17:30:00+00:00,2223,0,0.5056276873073382,0.5714285714285714,0.2556593581717674,0.32653061224489793,0.7044663762420483,0.8472978603872036
btts,1a0e06a17c5686e8,2022-10-16 14:00:00+00:00,2223,0,0.4516641444947441,0.5652173913043478,0.2040004994221691,0.3194706994328922,0.6008673047557193,0.8329091229351039
btts,6d9136e6e6e4466a,2022-10-16 14:00:00+00:00,2223,0,0.4803305786855832,0.5591397849462365,0.23071746482042724,0.3126372991097236,0.6545623978090527,0.819027426448948
btts,70b4985247152945,2022-10-16 14:00:00+00:00,2223,1,0.4886740383882739,0.5531914893617021,0.26145423901815634,0.19963784517881392,0.7160595999389736,0.5920510636885765
btts,753dbdd2a25bb950,2022-10-16 14:00:00+00:00,2223,0,0.608853085584997,0.5578947368421052,0.37070207982637166,0.31124653739612185,0.9386720493776161,0.8162072733171725
btts,45e8052eb43ed412,2022-10-16 16:30:00+00:00,2223,0,0.6362041069246434,0.5520833333333334,0.40475566566778304,0.3047960069444445,1.011162301924572,0.8031480757742739
btts,6160215913f6e98a,2022-10-18 19:30:00+00:00,2223,0,0.3551198958134017,0.5463917525773195,0.12611014040252128,0.2985439472845148,0.4386908644471372,0.7905213445851216
btts,1279dd66ce4a76b1,2022-10-18 20:15:00+00:00,2223,1,0.3906152010030412,0.5408163265306123,0.3713498332485638,0.21084964598084127,0.9400323442383304,0.61467556511845
btts,02f13b38dfb77336,2022-10-19 19:30:00+00:00,2223,0,0.5141080793811504,0.5454545454545454,0.2643071172849753,0.29752066115702475,0.7217690653709008,0.78845736036427
btts,2abe294a99067555,2022-10-19 19:30:00+00:00,2223,0,0.5514247935742667,0.54,0.3040693029684226,0.2916,0.8016789272024205,0.7765287894989964
btts,8ed1750877adbba4,2022-10-19 19:30:00+00:00,2223,0,0.559206399799163,0.5346534653465347,0.3127117975763413,0.2858543280070582,0.8191785398494702,0.7649729151312009
btts,94e7e707996c0529,2022-10-19 19:30:00+00:00,2223,0,0.4836643324145206,0.5294117647058824,0.2339311864499839,0.28027681660899656,0.660998206419557,0.7537718023763802
btts,92953252a3189aee,2022-10-19 20:15:00+00:00,2223,0,0.5281700964558518,0.5242718446601942,0.27896365079018376,0.27486096710340274,0.7511367321939848,0.7429086901190092
btts,d0f2fa44d7d07b12,2022-10-20 19:30:00+00:00,2223,0,0.4928529157549179,0.5192307692307693,0.2429039965681242,0.2696005917159764,0.6789542104715782,0.7323678937132267
btts,fad27c0e41f9ab00,2022-10-20 20:15:00+00:00,2223,0,0.5449788491517401,0.5142857142857142,0.2970019460227551,0.2644897959183673,0.7874113757308076,0.7221347174331975
btts,506fb4d13410a782,2022-10-22 12:30:00+00:00,2223,0,0.5363788195861484,0.5094339622641509,0.28770223810062995,0.2595229619081524,0.7686874817313089,0.7121953755306398
btts,066d66fcb3503319,2022-10-22 15:00:00+00:00,2223,1,0.525977810873763,0.5046728971962616,0.22469703578402994,0.2453489387719452,0.6424962517848651,0.6838447878976319
btts,9f89b112e133e1ce,2022-10-22 15:00:00+00:00,2223,0,0.4588430793772434,0.5092592592592593,0.21053697149239128,0.2593449931412895,0.6140459855899532,0.711839313572098
btts,e8737bf4741c00d6,2022-10-22 17:30:00+00:00,2223,1,0.4699518932703886,0.5045871559633027,0.28095099544764557,0.24543388603652894,0.755124944260491,0.6840146969966728
btts,12df7b3bc1405680,2022-10-23 14:00:00+00:00,2223,1,0.4466370699152207,0.509090909090909,0.30621053239201235,0.24099173553719014,0.8060089382845065,0.6751286750572671
btts,58836776e2ba8a6c,2022-10-23 14:00:00+00:00,2223,1,0.4359104747888642,0.5135135135135135,0.31819699245292454,0.23666910153396642,0.830318389769884,0.6664789334777841
btts,652e3649f2fca411,2022-10-23 14:00:00+00:00,2223,0,0.5232756872834103,0.5178571428571429,0.27381744490192544,0.2681760204081633,0.7408169159393652,0.7295148247308203
btts,edee1507d3d5577a,2022-10-23 14:00:00+00:00,2223,0,0.5184814206060439,0.5132743362831859,0.26882298351366135,0.263450544286945,0.7308104620004291,0.7200546334798696
btts,6c20dda2655725a2,2022-10-23 16:30:00+00:00,2223,1,0.5398430164232159,0.5087719298245614,0.2117444495344848,0.2413050169282856,0.6164768920156336,0.6757554378480761
btts,e6c861724bf44f89,2022-10-24 20:00:00+00:00,2223,0,0.3922196793526186,0.5130434782608696,0.15383627687147094,0.2632136105860114,0.4979417770305641,0.7195804376281009
btts,2cfc2dd0a00804eb,2022-10-29 12:30:00+00:00,2223,0,0.627309679463836,0.5086206896551724,0.3935174339490206,0.25869500594530315,0.9870074440277313,0.7105389232718144
btts,00d23535e467a6d3,2022-10-29 15:00:00+00:00,2223,0,0.4270007021393892,0.5042735042735043,0.18232959962753137,0.2542917671122799,0.5568707876423004,0.7017309242513368
btts,171fc9259d1ceb55,2022-10-29 15:00:00+00:00,2223,1,0.4998693007936731,0.5,0.25013071628860944,0.25,0.6934086131431191,0.6931471805599453
btts,288e3636fd108e11,2022-10-29 15:00:00+00:00,2223,1,0.5109578511050527,0.5042016806722689,0.23916222339578785,0.24581597344820283,0.6714681753407222,0.6847789308894288
btts,3a4d4fc064357f99,2022-10-29 15:00:00+00:00,2223,0,0.4758372654731119,0.5083333333333333,0.22642110321292877,0.25840277777777776,0.6459530808012998,0.7099542988763264
btts,ff94fbdd525eac4b,2022-10-29 15:00:00+00:00,2223,1,0.4860003395435728,0.5041322314049587,0.26419565094932246,0.24588484393142546,0.7215459564325606,0.6849166814234299
btts,3f423520216fcd2a,2022-10-29 17:30:00+00:00,2223,0,0.4888475160258091,0.5081967213114754,0.2389718939246037,0.2582639075517334,0.6710873302111684,0.7096764825111559
btts,06e36ee0f6089907,2022-10-29 19:45:00+00:00,2223,1,0.5348359390482107,0.5040650406504065,0.21637760360115996,0.24595148390508298,0.6257952350993445,0.685049970327326
btts,8c718abd1610004a,2022-10-30 14:00:00+00:00,2223,0,0.4339092390952705,0.5080645161290323,0.18827722777223663,0.25812955254942765,0.5690008586790833,0.7094077014317256
btts,318297c2b8cff339,2022-10-30 16:15:00+00:00,2223,0,0.5167939909363178,0.504,0.26707602906788697,0.254016,0.7273121964626945,0.7011793522572096
btts,119013d7a7a9c08d,2022-11-05 15:00:00+00:00,2223,1,0.6018436303156278,0.5,0.15852849472023844,0.25,0.5077576177205358,0.6931471805599453
btts,a21b39fe55dfc945,2022-11-05 15:00:00+00:00,2223,1,0.5392223701993025,0.5039370078740157,0.21231602412474862,0.24607849215698432,0.6176272324862826,0.6853040030989195
btts,aeaf697f564c2d50,2022-11-05 15:00:00+00:00,2223,1,0.4309027573509046,0.5078125,0.32387167159080343,0.24224853515625,0.8418728353302161,0.6776429940239801
btts,e7c54748e974c5ad,2022-11-05 15:00:00+00:00,2223,1,0.5481372216519046,0.5116279069767442,0.20417997045646,0.23850730124391561,0.6012296189058107,0.6701576623352465
btts,b74e2cb59988667d,2022-11-05 17:30:00+00:00,2223,0,0.4730274436784561,0.5153846153846153,0.22375496247297497,0.26562130177514787,0.6406068070879277,0.7243997240640496
btts,636a52c126217a6d,2022-11-06 12:00:00+00:00,2223,0,0.4924601355282101,0.5114503816793893,0.24251698508446307,0.261581492919993,0.6781800204678082,0.7163142398414796
btts,5bb3ef346b1f7748,2022-11-06 14:00:00+00:00,2223,1,0.5030601752259822,0.5075757575757576,0.2469491894464315,0.24248163452708907,0.6870454833817851,0.6781093031954049
btts,7dafef46c5a452d5,2022-11-06 14:00:00+00:00,2223,1,0.5173643721612509,0.5112781954887218,0.23293714925930356,0.23884900220476005,0.6590078709724981,0.6708414230456471
btts,9f79d4982b0858d2,2022-11-06 14:00:00+00:00,2223,1,0.4998951450659966,0.5149253731343284,0.2501048659285607,0.23529739362887053,0.6933569124201412,0.6637332953536519
btts,4b4ad009e8de936e,2022-11-06 16:30:00+00:00,2223,1,0.6482654173279928,0.5185185185185185,0.12371721664745106,0.2318244170096022,0.43345507184888493,0.6567795363890705
btts,72480d9cf2521d02,2022-11-12 12:30:00+00:00,2223,1,0.5176589190327483,0.5220588235294118,0.23265291838865687,0.22842776816608992,0.6584387110667166,0.6499750086947366
btts,5d36068babf91733,2022-11-12 15:00:00+00:00,2223,0,0.4940893245863175,0.5255474452554745,0.2441242606701634,0.27620011721455595,0.6813951560810667,0.7455936559324878
btts,8c0199201fb036a7,2022-11-12 15:00:00+00:00,2223,0,0.4127142918939254,0.5217391304347826,0.17033308673350425,0.2722117202268431,0.5322438516619455,0.7375989431307791
btts,93e6a44dbb9a70a3,2022-11-12 15:00:00+00:00,2223,1,0.4925083587778284,0.5179856115107914,0.25754776591037337,0.23233787071062575,0.708243846376296,0.6578078141146364
btts,9594b451ce64d9ad,2022-11-12 15:00:00+00:00,2223,1,0.5019695859199658,0.5214285714285715,0.24803429334873037,0.22903061224489793,0.6892157469426039,0.6511829814609131
btts,d611a29223227b8b,2022-11-12 15:00:00+00:00,2223,0,0.562740671576636,0.524822695035461,0.3166770634465233,0.27543886122428446,0.8272288310094228,0.7440672709872022
btts,45b5ae6214c09b98,2022-11-12 17:30:00+00:00,2223,0,0.4534198269670706,0.5211267605633803,0.20558953948684827,0.27157310057528267,0.6040742794118316,0.736319352425154
btts,7339fcf5fdd39b26,2022-11-12 19:45:00+00:00,2223,0,0.495108556208914,0.5174825174825175,0.24513248243127533,0.267788155900044,0.6834118356045179,0.728738125662648
btts,86e29739c5bb559a,2022-11-13 14:00:00+00:00,2223,1,0.4802024112981434,0.5138888888888888,0.27018953322026457,0.23630401234567905,0.7335475737620618,0.665748206371831
btts,6781e1b4aa4679d1,2022-11-13 16:30:00+00:00,2223,1,0.5105462180841726,0.5172413793103449,0.23956500463170638,0.23305588585017833,0.6722741105407406,0.6592456288842639
btts,2e6ae816b7709543,2022-12-26 12:30:00+00:00,2223,1,0.5788279372435418,0.5205479452054794,0.17738590644653,0.22987427284668796,0.5467500178645238,0.6528732814220054
